TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC;CNPJ_ADMIN;ADMIN
F.I.I.;17.143.998/0001-86;CSHG GR LOUVEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;22/01/2013;05/12/2012;;EM FUNCIONAMENTO NORMAL;22/01/2013;01/01/2020;31/12/2020;61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.
F.I.I.;32.784.898/0001-22;CSHG IMOBILIÁRIO FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;20/02/2019;12/02/2019;;EM FUNCIONAMENTO NORMAL;22/08/2019;01/01/2020;31/12/2020;61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.
F.I.I.;11.728.688/0001-47;CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;06/05/2010;;;EM FUNCIONAMENTO NORMAL;06/05/2010;01/01/2020;31/12/2020;61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.
F.I.I.;11.260.134/0001-68;CSHG PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;26/10/2010;;;EM FUNCIONAMENTO NORMAL;26/10/2010;01/01/2020;31/12/2020;61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.
F.I.I.;09.072.017/0001-29;CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;06/05/2008;;;EM FUNCIONAMENTO NORMAL;06/05/2008;01/01/2020;31/12/2020;61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.
F.I.I.;11.160.521/0001-22;CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;23/12/2009;;;EM FUNCIONAMENTO NORMAL;23/12/2009;01/01/2020;31/12/2020;61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.
F.I.I.;29.641.226/0001-53;CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIARIO - FII;14/02/2018;31/01/2018;;EM FUNCIONAMENTO NORMAL;27/04/2018;01/01/2020;31/12/2020;61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.
F.I.I.;19.442.626/0001-86;CTBH FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;26/02/2014;11/12/2013;;EM FUNCIONAMENTO NORMAL;26/02/2014;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;28.108.193/0001-18;DEL MONTE AJAX  FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;28/07/2017;26/06/2017;;EM FUNCIONAMENTO NORMAL;15/12/2017;01/01/2020;31/12/2020;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;28.108.193/0001-18;DEL MONTE AJAX  FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;28/07/2017;26/06/2017;;EM FUNCIONAMENTO NORMAL;15/12/2017;01/01/2020;31/12/2020;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;26.642.727/0001-66;DIAMANTE FUNDO DE INVESTIMENTO IMOBILIARIO;06/01/2017;10/11/2016;;EM FUNCIONAMENTO NORMAL;13/02/2017;01/01/2020;31/12/2020;30.723.886/0001-62;BANCO MODAL S.A.
F.I.I.;10.522.648/0001-81;DOVEL FII;01/04/2009;;;EM FUNCIONAMENTO NORMAL;01/04/2009;01/01/2020;31/12/2020;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
F.I.I.;21.085.863/0001-89;EBT FUNDO DE INVESTIMENTO IMOBILIÁRIO;12/09/2018;04/08/2014;;EM FUNCIONAMENTO NORMAL;29/10/2018;01/01/2020;31/12/2020;45.246.410/0001-55;PLURAL S.A. BANCO MULTIPLO
F.I.I.;14.365.190/0001-55;ESTRUTURA II - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;20/09/2012;30/08/2011;;EM FUNCIONAMENTO NORMAL;20/09/2012;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;18.259.637/0001-62;ETR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/09/2013;16/05/2013;;EM FUNCIONAMENTO NORMAL;05/09/2013;01/07/2019;30/06/2020;11.758.741/0001-52;BANCO FINAXIS S.A.
F.I.I.;31.469.385/0001-64;EUROPA 105 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;25/02/2019;23/08/2018;;EM FUNCIONAMENTO NORMAL;15/03/2019;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;32.317.313/0001-64;EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO;29/01/2020;07/11/2018;;EM FUNCIONAMENTO NORMAL;13/02/2020;13/02/2020;30/06/2020;62.418.140/0001-31;INTRAG DTVM LTDA.
F.I.I.;24.070.076/0001-51;EVEN PERMUTA KINEA FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO;08/06/2016;18/01/2016;;EM FUNCIONAMENTO NORMAL;09/06/2017;01/07/2019;30/06/2020;62.418.140/0001-31;INTRAG DTVM LTDA.
F.I.I.;12.358.507/0001-09;ÊXITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;08/12/2010;;;EM FUNCIONAMENTO NORMAL;08/12/2010;01/01/2020;31/12/2020;45.246.410/0001-55;PLURAL S.A. BANCO MULTIPLO
F.I.I.;18.312.285/0001-61;EZTB Fundo de Investimento Imobiliário - FII;11/09/2017;29/05/2013;;EM FUNCIONAMENTO NORMAL;21/09/2017;01/01/2020;31/12/2020;45.246.410/0001-55;PLURAL S.A. BANCO MULTIPLO
F.I.I.;33.884.145/0001-51;FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;04/09/2019;24/05/2019;;EM FUNCIONAMENTO NORMAL;22/10/2019;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;27.580.051/0001-96;FARMLAND FUNDO DE INVESTIMENTO IMOBILIARIO;08/05/2017;02/03/2017;;FASE PRÉ-OPERACIONAL;08/05/2017;;;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;11.664.201/0001-00;FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;31/01/2011;;;EM FUNCIONAMENTO NORMAL;31/01/2011;01/01/2020;31/12/2020;33.644.196/0001-06;BANCO FATOR S/A
F.I.I.;22.016.625/0001-84;FDL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;04/05/2017;22/04/2015;;EM FUNCIONAMENTO NORMAL;15/08/2017;01/01/2020;31/12/2020;92.904.564/0001-77;ORLA DTVM S.A.
F.I.I.;22.016.625/0001-84;FDL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;04/05/2017;22/04/2015;;EM FUNCIONAMENTO NORMAL;15/08/2017;01/01/2020;31/12/2020;92.904.564/0001-77;ORLA DTVM S.A.
F.I.I.;20.990.694/0001-69;FGRP FUNDO DE INVESTIMENTO IMOBILIÁRIO;23/12/2017;11/09/2014;;EM FUNCIONAMENTO NORMAL;23/12/2017;01/07/2019;30/06/2020;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;24.814.916/0001-43;FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR;23/05/2016;02/05/2016;;EM FUNCIONAMENTO NORMAL;30/06/2017;01/01/2020;31/12/2020;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;11.281.322/0001-72;FII - PRESIDENTE VARGAS;30/04/2010;;;EM FUNCIONAMENTO NORMAL;30/04/2010;01/01/2020;31/12/2020;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;07.789.135/0001-27;FII ANCAR IC;03/01/2006;;;EM FUNCIONAMENTO NORMAL;03/01/2006;01/01/2020;31/12/2020;27.652.684/0001-62;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.
F.I.I.;11.179.118/0001-45;FII ANHANGUERA EDUCACIONAL;16/12/2009;;;EM FUNCIONAMENTO NORMAL;16/12/2009;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;10.347.985/0001-80;FII BB VOTORANTIM CIDADE JARDIM CONTINENTAL TOWER;14/01/2011;03/09/2008;;EM FUNCIONAMENTO NORMAL;14/01/2011;01/01/2020;31/12/2020;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
F.I.I.;14.376.247/0001-11;FII BM BRASCAN LAJES CORPORATIVAS;10/01/2012;03/01/2012;;EM FUNCIONAMENTO NORMAL;10/01/2012;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;01.339.362/0001-74;FII C&D ESTAÇAO PLAZA SHOW;10/06/1996;;08/07/2008;CANCELADA;08/07/2008;;;82.016.270/0001-55;UP FINANÇAS E NEGÓCIOS S.A.
F.I.I.;11.602.654/0001-01;FII CAMPUS FARIA LIMA;08/06/2010;;;EM FUNCIONAMENTO NORMAL;08/06/2010;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;13.551.286/0001-45;FII CENESP;19/07/2011;;;EM FUNCIONAMENTO NORMAL;19/07/2011;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;04.141.645/0001-03;FII CONTINENTAL SQUARE FARIA LIMA;22/11/2000;;;EM FUNCIONAMENTO NORMAL;22/11/2000;01/01/2020;31/12/2020;44.077.014/0001-89;BR-CAPITAL DTVM S.A.
F.I.I.;07.525.385/0001-50;FII CR2 JARDIM BOTANICO;31/08/2005;;20/04/2011;CANCELADA;20/04/2011;;;03.532.415/0001-02;BANCO ABN AMRO S.A.
F.I.I.;04.899.981/0001-01;FII CR2 LARANJEIRAS;11/03/2002;;23/10/2015;CANCELADA;23/10/2015;;;03.532.415/0001-02;BANCO ABN AMRO S.A.
F.I.I.;03.724.819/0001-90;FII CR2 RJZ I;23/06/2000;;18/06/2008;CANCELADA;18/06/2008;;;03.532.415/0001-02;BANCO ABN AMRO S.A.
F.I.I.;03.975.835/0001-55;FII CR2 RJZ II;05/02/2001;;23/10/2015;CANCELADA;23/10/2015;;;03.532.415/0001-02;BANCO ABN AMRO S.A.
F.I.I.;03.975.880/0001-00;FII CR2 RJZ III;25/04/2001;;04/06/2009;CANCELADA;04/06/2009;;;03.532.415/0001-02;BANCO ABN AMRO S.A.
F.I.I.;13.966.653/0001-71;FII CYRELA THERA CORPORATE;02/12/2011;;;EM FUNCIONAMENTO NORMAL;02/12/2011;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;05.562.312/0001-02;FII EDIFICIO ALMIRANTE BARROSO;17/03/2003;;;EM FUNCIONAMENTO NORMAL;17/03/2003;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;10.993.386/0001-33;FII EDIFÍCIO CASTELO;30/07/2009;;04/02/2019;CANCELADA;04/02/2019;01/01/2019;31/12/2019;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;06.175.262/0001-73;FII EDIFÍCIO OURINVEST;05/05/2004;;;EM FUNCIONAMENTO NORMAL;05/05/2004;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;13.022.994/0001-99;FII ELDORADO;19/11/2010;;;EM FUNCIONAMENTO NORMAL;04/03/2011;01/01/2020;31/12/2020;72.600.026/0001-81;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
F.I.I.;05.437.916/0001-27;FII EUROPAR;10/12/2002;;;EM FUNCIONAMENTO NORMAL;10/12/2002;01/01/2020;31/12/2020;00.336.036/0001-40;COINVALORES CCVM LTDA
F.I.I.;05.330.010/0001-09;FII FASHION MALL;08/10/2002;;30/01/2008;CANCELADA;30/01/2008;;;78.632.767/0001-20;BANCO OURINVEST S.A.
F.I.I.;01.477.862/0001-72;FII FATOR-RIO OFFICE PARK;27/04/1998;;15/07/2009;CANCELADA;15/07/2009;;;33.644.196/0001-06;BANCO FATOR S/A
F.I.I.;10.375.382/0001-91;FII FLORIPA SHOPPING;21/09/2009;;;EM FUNCIONAMENTO NORMAL;21/09/2009;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;01.754.666/0001-06;FII GAFISA BCO BBM BAY VIEW RES SERV;20/05/1997;;01/10/2010;CANCELADA;01/10/2010;;;15.114.366/0001-69;BANCO BOCOM BBM S.A.
F.I.I.;01.802.517/0001-67;FII GAFISA BCO BBM INTERATIVEFLAT;20/05/1997;;01/10/2010;CANCELADA;01/10/2010;;;15.114.366/0001-69;BANCO BOCOM BBM S.A.
F.I.I.;01.964.775/0001-40;FII GEO GUARARAPES;11/06/1997;;;EM FUNCIONAMENTO NORMAL;11/03/1998;;;50.585.090/0001-06;BCV - BANCO DE CRÉDITO E VAREJO S.A.
F.I.I.;11.091.198/0001-82;FII GWI CONDOMÍNIOS LOGÍSTICOS;03/11/2009;;23/10/2015;CANCELADA;23/10/2015;;;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;28.899.178/0001-35;FII HIRE PROPERTIES I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;26/10/2017;19/09/2017;;EM FUNCIONAMENTO NORMAL;01/07/2019;01/07/2019;30/06/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;04.066.582/0001-60;FII HOSPITAL DA CRIANÇA;03/10/2000;;;EM FUNCIONAMENTO NORMAL;03/10/2000;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;08.014.513/0001-63;FII HOSPITAL NOSSA SENHORA DE LOURDES;20/04/2006;;;EM FUNCIONAMENTO NORMAL;20/04/2006;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;08.706.065/0001-69;FII HOTEL MAXINVEST;13/02/2007;;;EM FUNCIONAMENTO NORMAL;13/02/2007;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;07.754.014/0001-40;FII HYPER I;26/05/2006;;24/03/2009;CANCELADA;24/03/2009;;;72.600.026/0001-81;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
F.I.I.;31.964.557/0001-76;FII LOB MALLS FUNDO DE INVESTIMENTO IMOBILIARIO;14/01/2019;17/10/2018;;FASE PRÉ-OPERACIONAL;14/01/2019;;;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;01.520.938/0001-03;FII MANHATTAN;29/10/1996;;31/01/2013;CANCELADA;31/01/2013;;;72.600.026/0001-81;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
F.I.I.;11.274.415/0001-70;FII MAX RETAIL;20/04/2010;;;EM FUNCIONAMENTO NORMAL;20/04/2010;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;01.633.741/0001-72;FII MEMORIAL OFFICE;15/04/1994;;;EM FUNCIONAMENTO NORMAL;11/03/1998;01/01/2020;31/12/2020;61.384.004/0001-05;COIN - DTVM LTDA.
F.I.I.;01.497.954/0001-14;FII MISTRAL;02/10/1996;;;EM FUNCIONAMENTO NORMAL;11/03/1998;01/01/2020;31/12/2020;92.858.380/0001-18;CORRETORA GERAL DE VALORES E CAMBIO LTDA
F.I.I.;03.507.179/0001-66;FII NOVA MORADA;02/02/2000;;31/12/2014;CANCELADA;31/12/2014;;;82.016.270/0001-55;UP FINANÇAS E NEGÓCIOS S.A.
F.I.I.;10.869.155/0001-12;FII PARQUE DOM PEDRO SHOPPING CENTER;16/06/2009;;;EM FUNCIONAMENTO NORMAL;16/06/2009;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;01.636.325/0001-28;FII PATEO MOINHOS DE VENTO;22/01/1997;;;EM FUNCIONAMENTO NORMAL;11/03/1998;01/01/2020;31/12/2020;44.077.014/0001-89;BR-CAPITAL DTVM S.A.
F.I.I.;08.960.078/0001-60;FII PATRIMONIAL II;05/07/2007;;09/09/2015;CANCELADA;09/09/2015;;;10.749.264/0001-04;GDC PARTNERS SERVICOS FIDUCIARIOS DTVM LTDA
F.I.I.;09.150.967/0001-24;FII PATRIMONIAL IV;17/12/2007;;;EM FUNCIONAMENTO NORMAL;17/12/2007;01/01/2020;31/12/2020;15.489.568/0001-95;INTRADER DTVM LTDA
F.I.I.;04.423.218/0001-00;FII PAULO OCTAVIO;29/05/2001;;29/01/2007;CANCELADA;29/01/2007;;;78.632.767/0001-20;BANCO OURINVEST S.A.
F.I.I.;07.583.627/0001-61;FII PENINSULA;13/07/2005;;;EM FUNCIONAMENTO NORMAL;13/07/2005;01/01/2020;31/12/2020;78.632.767/0001-20;BANCO OURINVEST S.A.
F.I.I.;10.456.799/0001-89;FII PHORBIS;09/12/2008;;;EM FUNCIONAMENTO NORMAL;09/12/2008;01/01/2020;31/12/2020;92.858.380/0001-18;CORRETORA GERAL DE VALORES E CAMBIO LTDA
F.I.I.;08.610.522/0001-17;FII PREMIER REALTY;11/01/2007;;06/02/2018;CANCELADA;06/02/2018;01/01/2019;31/12/2019;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;10.427.246/0001-06;FII PRIME PORTFOLIO;03/02/2009;;;EM FUNCIONAMENTO NORMAL;03/02/2009;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;03.251.720/0001-18;FII PROJ AGUA BRANCA;30/06/1999;;;EM FUNCIONAMENTO NORMAL;30/06/1999;01/01/2020;31/12/2020;61.384.004/0001-05;COIN - DTVM LTDA.
F.I.I.;09.276.964/0001-31;FII PROPERTY INVEST;11/01/2008;;;EM FUNCIONAMENTO NORMAL;11/01/2008;01/01/2020;31/12/2020;12.063.256/0001-27;MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;05.251.415/0001-51;FII RIO ATLÂNTICA HOTEL;23/08/2002;;29/01/2007;CANCELADA;29/01/2007;;;78.632.767/0001-20;BANCO OURINVEST S.A.
F.I.I.;01.170.545/0001-09;FII RIVER SHOPPING;15/03/1996;;20/05/2010;CANCELADA;20/05/2010;;;50.585.090/0001-06;BCV - BANCO DE CRÉDITO E VAREJO S.A.
F.I.I.;26.094.647/0001-13;FII RIVIERA BR LOGISTICA;19/09/2016;15/08/2016;11/10/2018;CANCELADA;11/10/2018;;;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
F.I.I.;21.648.484/0001-50;FII RIVIERA RIO QUENTE RESORTS;13/05/2016;03/11/2014;11/10/2018;CANCELADA;11/10/2018;;;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
F.I.I.;07.352.632/0001-63;FII RODOBENS;19/04/2005;;01/11/2019;CANCELADA;01/11/2019;01/01/2019;31/12/2019;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;11.196.130/0001-68;FII RUBI;23/11/2009;;30/06/2015;CANCELADA;30/06/2015;;;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;00.316.260/0001-70;FII SHOPPING GUARARAPES;01/12/1994;;08/10/2014;CANCELADA;08/10/2014;;;50.585.090/0001-06;BCV - BANCO DE CRÉDITO E VAREJO S.A.
F.I.I.;14.879.856/0001-93;FII SHOPPING JARDIM SUL;17/07/2012;02/01/2012;;EM FUNCIONAMENTO NORMAL;17/07/2012;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;07.224.019/0001-60;FII SHOPPING PARQUE D PEDRO;28/01/2005;;;EM FUNCIONAMENTO NORMAL;28/01/2005;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;02.738.101/0001-90;FII SUPERQUADRA 311 NORTE;30/09/1998;;31/12/2012;CANCELADA;31/12/2012;;;72.600.026/0001-81;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
F.I.I.;07.122.725/0001-00;FII TORRE ALMIRANTE;19/11/2004;;;EM FUNCIONAMENTO NORMAL;19/11/2004;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;04.722.883/0001-02;FII TORRE NORTE;10/10/2001;;;EM FUNCIONAMENTO NORMAL;10/10/2001;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;01.461.265/0001-50;FII TROPICAL;23/09/1996;;31/10/2011;CANCELADA;31/10/2011;;;72.600.026/0001-81;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
F.I.I.;13.022.993/0001-44;FII VBI FL 4440;26/05/2011;;;EM FUNCIONAMENTO NORMAL;26/05/2011;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;01.434.479/0001-37;FII VILLE DE FRANCE;05/09/1996;;31/01/2013;CANCELADA;31/01/2013;;;72.600.026/0001-81;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
F.I.I.;20.265.434/0001-20;FII VOTORANTIM SECURITIES IV;13/03/2015;08/05/2014;;EM FUNCIONAMENTO NORMAL;13/03/2015;01/01/2020;31/12/2020;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
F.I.I.;14.074.721/0001-50;FIRENZE FUNDO DE INVESTIMENTO IMOBILIÁRIO;10/12/2013;27/09/2012;;EM FUNCIONAMENTO NORMAL;10/12/2013;01/01/2020;31/12/2020;00.329.598/0001-67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
F.I.I.;28.065.397/0001-19;FL SHOPPINGS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;22/01/2018;06/09/2017;;LIQUIDAÇÃO;10/10/2018;01/08/2019;31/07/2020;15.489.568/0001-95;INTRADER DTVM LTDA
F.I.I.;34.693.422/0001-01;FLIPPER FUNDO DE INVESTIMENTO IMOBILIARIO;06/11/2019;26/06/2019;;FASE PRÉ-OPERACIONAL;06/11/2019;;;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;31.547.942/0001-18;FLORIANOPOLIS 48 FUNDO DE INVESTIMENTO IMOBILIARIO;25/10/2018;20/08/2018;19/06/2019;CANCELADA;19/06/2019;;;00.329.598/0001-67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
F.I.I.;04.782.236/0001-88;FP F ANDROMEDA FII;22/11/2001;;;EM FUNCIONAMENTO NORMAL;22/11/2001;01/01/2020;31/12/2020;00.336.036/0001-40;COINVALORES CCVM LTDA
F.I.I.;04.782.236/0001-88;FP F ANDROMEDA FII;22/11/2001;;;EM FUNCIONAMENTO NORMAL;22/11/2001;01/01/2020;31/12/2020;00.336.036/0001-40;COINVALORES CCVM LTDA
F.I.I.;05.382.656/0001-30;FP F ANDRÔMEDA II FII;31/10/2002;;16/12/2003;CANCELADA;16/12/2003;;;59.148.775/0001-51;COINVALORES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
F.I.I.;28.412.642/0001-17;FRAÇÃO IDEAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;01/02/2018;05/05/2017;;FASE PRÉ-OPERACIONAL;01/02/2018;;;33.918.160/0001-73;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;27.771.547/0001-47;FRAM CAPITAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;12/06/2017;10/05/2017;;FASE PRÉ-OPERACIONAL;12/06/2017;;;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;27.771.568/0001-62;FRAM CAPITAL VI FUNDO DE INVESTIMENTO IMOBILIARIO;13/06/2017;10/05/2017;;EM FUNCIONAMENTO NORMAL;04/07/2018;01/01/2020;31/12/2020;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;02.027.437/0001-44;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;05/08/1997;;;EM FUNCIONAMENTO NORMAL;11/03/1998;01/01/2020;31/12/2020;72.600.026/0001-81;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
F.I.I.;30.091.444/0001-40;FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII;23/05/2018;16/03/2018;;EM FUNCIONAMENTO NORMAL;03/09/2018;01/07/2019;30/06/2020;62.418.140/0001-31;INTRAG DTVM LTDA.
F.I.I.;24.703.758/0001-54;FUNDO DE INVESTIMENTO  IMOBILIÁRIO COHAPAR I;28/06/2017;18/04/2016;19/09/2019;CANCELADA;19/09/2019;;;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;34.197.754/0001-03;Fundo de Investimento Imobiliário -  FII Panamby Renda Master;29/11/2019;29/11/2019;;FASE PRÉ-OPERACIONAL;29/11/2019;;;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;33.354.650/0001-94;FUNDO DE INVESTIMENTO IMOBILIARIO - AVM FII;15/07/2019;21/03/2019;;FASE PRÉ-OPERACIONAL;15/07/2019;;;18.945.670/0001-46;INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS
